Player,Team,Match_Type,Venue,Runs_Scored,Balls_Faced,Strike_Rate,Wickets_Taken,Economy_Rate,Predicted_Winner,Prediction_Probability,Actual_Winner,Betting_Odds,Social_Platform,Likes,Shares,Comments,Sentiment_Score
Player 24,Team C,T20,Dubai,59,71,83.1,4,4.31,Team D,78.69,Team D,3.45,Instagram,48244,2638,1251,0.62
Player 49,Team E,T20,London,79,3,2633.33,2,8.73,Team D,91.34,Team D,4.85,Twitter,21386,2626,1758,-0.79
Player 3,Team E,T20,London,31,56,55.36,2,6.85,Team A,88.39,Team C,2.44,Instagram,23538,3814,515,-0.1
Player 49,Team C,Test,Dubai,293,135,217.04,1,8.21,Team A,93.41,Team B,3.17,Twitter,30477,3395,403,0.6
Player 32,Team D,T20,London,82,120,68.33,1,6.98,Team E,68.77,Team B,2.98,YouTube,11311,637,1534,0.9
Player 95,Team B,Test,Mumbai,97,44,220.45,2,6.52,Team B,93.75,Team E,4.42,Facebook,21099,3980,445,0.18
Player 43,Team A,T20,Mumbai,167,26,642.31,1,4.83,Team E,59.32,Team D,4.83,Twitter,20169,1150,1771,0.71
Player 90,Team B,Test,Sydney,338,40,845.0,1,8.05,Team B,87.11,Team B,4.89,Twitter,2459,3759,1472,-0.72
Player 20,Team B,T20,Sydney,183,38,481.58,1,4.37,Team E,89.81,Team A,2.39,YouTube,17370,3470,1794,0.28
Player 15,Team B,Test,Sydney,247,33,748.48,5,3.79,Team E,91.91,Team E,1.62,Twitter,28911,3583,1109,0.15
Player 59,Team A,ODI,Sydney,139,138,100.72,3,8.33,Team C,82.09,Team C,1.55,YouTube,39713,2454,534,-0.43
Player 25,Team B,T20,Cape Town,170,96,177.08,4,8.23,Team A,78.06,Team D,1.67,Twitter,5854,1875,477,0.23
Player 47,Team C,T20,London,74,88,84.09,3,7.15,Team C,85.91,Team A,1.92,Twitter,18176,2929,1730,-0.03
Player 74,Team A,T20,Mumbai,82,110,74.55,2,5.35,Team E,58.89,Team A,2.07,YouTube,48762,1084,108,-0.1
Player 88,Team A,ODI,Dubai,185,75,246.67,1,6.79,Team D,93.03,Team A,4.07,YouTube,33415,3988,406,-0.92
Player 70,Team C,ODI,Dubai,10,34,29.41,1,3.36,Team E,53.95,Team A,3.31,Twitter,17041,515,887,-0.45
Player 81,Team E,T20,Dubai,197,1,19700.0,3,6.45,Team C,64.66,Team B,2.12,Twitter,9207,1022,1117,-0.32
Player 98,Team B,ODI,Sydney,171,125,136.8,3,4.43,Team E,83.53,Team B,3.2,Instagram,8951,590,442,-0.58
Player 8,Team C,T20,Mumbai,117,9,1300.0,2,4.79,Team D,56.8,Team E,1.99,Facebook,46015,4396,1309,0.17
Player 13,Team E,T20,Sydney,19,125,15.2,5,7.54,Team D,57.74,Team C,4.31,Facebook,1497,3381,736,0.52
Player 49,Team E,T20,Cape Town,183,134,136.57,2,6.04,Team C,54.78,Team D,2.75,Twitter,39379,1898,1540,0.85
Player 46,Team B,ODI,Mumbai,60,9,666.67,2,3.96,Team D,60.96,Team D,1.89,Twitter,27784,1560,923,-0.98
Player 86,Team C,T20,Dubai,9,67,13.43,2,3.41,Team D,80.61,Team D,4.5,Instagram,47402,1855,987,-0.6
Player 74,Team B,ODI,Sydney,95,98,96.94,4,6.4,Team E,57.87,Team A,2.78,Facebook,23698,1370,1421,0.45
Player 38,Team B,ODI,Dubai,78,63,123.81,5,8.53,Team B,92.46,Team E,2.4,Twitter,35158,3137,1891,-0.35
Player 45,Team D,ODI,Sydney,21,19,110.53,0,5.86,Team C,80.5,Team A,2.1,YouTube,26702,3328,643,-0.23
Player 95,Team D,T20,Cape Town,131,66,198.48,3,8.11,Team A,98.35,Team E,2.69,Twitter,40829,3665,1114,0.2
Player 58,Team D,ODI,Mumbai,184,69,266.67,4,8.68,Team C,86.53,Team A,4.31,Instagram,17303,983,1607,0.67
Player 28,Team D,T20,Sydney,163,127,128.35,1,7.41,Team B,51.83,Team A,3.85,YouTube,15205,4625,709,-0.9
Player 69,Team B,Test,Dubai,175,49,357.14,3,3.75,Team D,72.37,Team D,4.18,YouTube,7109,518,1097,-0.1
Player 97,Team E,ODI,London,77,91,84.62,3,3.17,Team E,52.47,Team D,4.04,YouTube,35422,674,1669,-0.59
Player 68,Team E,Test,Cape Town,146,36,405.56,2,3.51,Team A,70.07,Team D,1.83,YouTube,29710,4856,1891,-0.59
Player 12,Team D,Test,Sydney,216,115,187.83,3,9.79,Team A,92.15,Team C,2.61,Facebook,16929,319,1982,0.73
Player 60,Team B,Test,Dubai,275,19,1447.37,3,5.69,Team B,89.16,Team E,2.43,YouTube,25982,2044,1918,-0.44
Player 21,Team C,ODI,Dubai,67,3,2233.33,1,5.94,Team D,94.88,Team B,1.89,Facebook,11089,4731,1026,0.2
Player 98,Team C,Test,Dubai,66,142,46.48,2,4.54,Team C,58.79,Team D,4.18,Instagram,11316,968,1760,0.52
Player 14,Team D,ODI,Cape Town,63,8,787.5,4,9.52,Team B,61.41,Team C,3.73,Twitter,21231,4538,1635,0.11
Player 39,Team E,T20,London,109,56,194.64,3,5.08,Team A,82.53,Team B,2.64,YouTube,22779,2737,1382,-0.88
Player 67,Team C,ODI,Mumbai,134,63,212.7,5,7.81,Team D,97.57,Team D,4.48,Twitter,8267,4609,1320,-0.25
Player 47,Team D,Test,Sydney,298,51,584.31,1,8.55,Team B,55.32,Team B,4.72,YouTube,39118,4767,1651,-0.6
Player 95,Team C,ODI,Cape Town,119,21,566.67,3,4.32,Team B,66.23,Team C,4.01,Twitter,6209,3613,1854,0.02
Player 71,Team A,ODI,London,125,86,145.35,3,9.89,Team E,74.11,Team A,4.79,Instagram,42865,3547,1498,0.65
Player 89,Team A,Test,Cape Town,311,150,207.33,1,5.86,Team C,93.27,Team E,2.26,Facebook,20206,4316,1623,-0.66
Player 45,Team D,ODI,Cape Town,133,15,886.67,5,6.23,Team A,94.24,Team C,4.08,Twitter,47045,1307,141,0.83
Player 80,Team A,ODI,Dubai,185,88,210.23,5,8.59,Team E,77.61,Team C,4.34,YouTube,13485,4317,115,-0.95
Player 74,Team B,Test,Dubai,344,39,882.05,5,5.06,Team B,55.79,Team B,4.85,Facebook,22669,415,1093,-0.42
Player 40,Team D,ODI,Sydney,33,61,54.1,5,3.17,Team B,55.62,Team D,4.86,Instagram,25340,3448,1379,0.91
Player 10,Team C,Test,London,213,53,401.89,2,4.41,Team C,55.52,Team E,4.14,Twitter,1792,4127,1937,-0.09
Player 58,Team E,T20,Cape Town,114,99,115.15,2,4.7,Team E,69.39,Team E,4.99,Twitter,49740,3252,1609,-0.87
Player 7,Team B,T20,Dubai,123,51,241.18,2,8.62,Team C,73.55,Team E,4.91,Twitter,35849,2681,1399,0.39
Player 73,Team E,T20,Cape Town,198,42,471.43,4,5.04,Team C,82.2,Team D,4.04,Instagram,35000,328,981,0.61
Player 85,Team D,Test,Cape Town,379,113,335.4,1,4.23,Team C,64.13,Team A,4.0,Twitter,12522,547,1753,-0.92
Player 99,Team E,T20,Sydney,81,26,311.54,0,8.93,Team B,57.38,Team C,4.75,YouTube,32394,876,656,-0.2
Player 69,Team D,T20,Dubai,187,80,233.75,1,7.36,Team E,64.18,Team D,3.05,Twitter,48365,147,1076,0.76
Player 52,Team B,Test,Dubai,177,17,1041.18,3,7.92,Team A,95.96,Team B,4.04,YouTube,28474,1844,1558,0.03
Player 46,Team D,Test,Sydney,2,102,1.96,4,7.97,Team A,89.66,Team D,1.58,Facebook,10944,1879,447,-0.57
Player 94,Team B,ODI,Sydney,65,142,45.77,0,3.53,Team D,52.42,Team B,2.57,Twitter,14077,2102,1059,-0.17
Player 96,Team C,T20,Dubai,57,127,44.88,2,3.62,Team B,97.07,Team A,3.01,Facebook,33476,2179,413,0.35
Player 70,Team E,T20,London,145,76,190.79,2,7.83,Team A,62.66,Team D,1.57,Twitter,8443,545,1283,0.37
Player 82,Team C,T20,London,178,133,133.83,3,5.83,Team D,51.54,Team A,2.23,Facebook,25432,3189,356,0.7
Player 17,Team A,T20,Cape Town,1,127,0.79,3,4.18,Team C,73.61,Team E,1.98,YouTube,1392,3780,325,0.57
Player 97,Team B,Test,London,326,108,301.85,0,8.63,Team B,92.46,Team E,3.73,YouTube,16273,1071,885,-0.71
Player 64,Team B,Test,Cape Town,50,116,43.1,4,4.12,Team D,51.97,Team B,4.12,Twitter,35692,948,1367,0.32
Player 89,Team D,T20,Cape Town,135,119,113.45,2,5.96,Team A,63.42,Team B,4.22,Facebook,38445,4203,1367,-0.93
Player 97,Team C,ODI,London,142,147,96.6,2,5.95,Team E,58.29,Team A,2.04,YouTube,48327,4129,655,-0.49
Player 64,Team D,ODI,London,145,85,170.59,0,3.53,Team E,77.92,Team D,3.72,YouTube,4416,4612,68,-0.62
Player 26,Team C,Test,Mumbai,353,17,2076.47,3,6.46,Team E,79.62,Team E,1.52,Twitter,26352,2652,376,-0.43
Player 65,Team E,T20,Sydney,36,113,31.86,0,3.79,Team A,54.14,Team D,3.8,Instagram,7479,1743,1539,0.63
Player 21,Team A,T20,Dubai,125,99,126.26,1,8.18,Team B,65.36,Team B,1.74,Instagram,43759,4586,1237,0.4
Player 13,Team A,Test,London,76,54,140.74,3,9.23,Team E,67.16,Team E,2.56,YouTube,33087,638,752,0.92
Player 3,Team A,ODI,Dubai,85,59,144.07,2,4.13,Team C,63.96,Team E,3.18,Twitter,39836,113,1168,-0.13
Player 45,Team E,ODI,Sydney,166,22,754.55,5,4.08,Team C,75.64,Team B,3.63,Facebook,35657,2958,1235,-0.19
Player 11,Team A,T20,London,189,97,194.85,4,8.87,Team E,85.49,Team D,3.97,Instagram,23068,4605,1100,0.02
Player 99,Team C,Test,Mumbai,248,90,275.56,0,6.1,Team B,61.92,Team A,4.61,Twitter,6314,3665,254,0.0
Player 13,Team E,Test,London,65,57,114.04,5,3.75,Team B,93.43,Team A,2.85,Twitter,39511,1528,191,0.16
Player 67,Team C,Test,Mumbai,209,144,145.14,0,4.5,Team E,73.16,Team D,4.84,Twitter,35564,3547,350,-0.46
Player 21,Team A,Test,Dubai,385,31,1241.94,5,8.69,Team E,53.78,Team C,1.5,YouTube,1361,2144,83,-0.99
Player 48,Team B,Test,Sydney,320,73,438.36,3,8.25,Team D,85.23,Team C,1.62,Facebook,15181,4538,1359,0.46
Player 64,Team E,ODI,Mumbai,30,19,157.89,1,8.16,Team C,68.59,Team D,2.3,Twitter,35911,953,1904,-0.34
Player 20,Team C,T20,Mumbai,84,95,88.42,2,6.43,Team D,64.91,Team D,2.75,Twitter,2707,4713,1330,-0.87
Player 45,Team E,ODI,Sydney,23,11,209.09,5,4.56,Team D,82.4,Team B,2.12,Instagram,39743,1760,1668,0.67
Player 93,Team E,T20,London,71,16,443.75,3,9.86,Team B,95.04,Team E,1.95,Instagram,47572,1061,508,0.22
Player 72,Team A,Test,Mumbai,65,132,49.24,1,6.06,Team C,97.73,Team B,3.35,Facebook,45316,548,389,0.6
Player 54,Team C,T20,Mumbai,78,13,600.0,5,4.17,Team D,78.85,Team B,2.26,Instagram,28594,2158,762,-0.75
Player 75,Team D,ODI,London,140,66,212.12,1,6.94,Team A,77.48,Team C,1.86,Instagram,30409,3125,1378,-0.84
Player 93,Team C,ODI,London,177,37,478.38,5,5.75,Team B,88.66,Team C,2.04,YouTube,38100,3421,1035,0.8
Player 76,Team E,Test,Cape Town,7,110,6.36,2,3.32,Team E,53.0,Team B,3.57,YouTube,45973,3520,690,0.89
Player 30,Team E,T20,Sydney,150,34,441.18,5,4.56,Team E,82.27,Team B,4.78,Instagram,29228,3859,155,0.91
Player 49,Team E,Test,Sydney,297,115,258.26,2,5.56,Team B,94.91,Team A,3.27,Twitter,11555,3426,697,0.85
Player 69,Team A,Test,Cape Town,130,139,93.53,0,6.24,Team B,66.33,Team C,4.13,Facebook,11607,544,1942,0.33
Player 61,Team E,ODI,Mumbai,43,22,195.45,4,5.01,Team B,96.08,Team B,4.51,Facebook,27346,313,1534,-0.08
Player 29,Team C,ODI,Cape Town,105,103,101.94,5,5.31,Team E,83.01,Team D,2.83,Facebook,8354,4477,593,-0.04
Player 46,Team D,Test,Sydney,183,41,446.34,1,6.67,Team E,73.26,Team C,1.54,Facebook,12746,3124,955,-0.96
Player 83,Team D,ODI,Dubai,199,125,159.2,5,4.19,Team E,81.9,Team B,3.13,Twitter,9446,1681,1308,0.46
Player 15,Team B,Test,Cape Town,243,36,675.0,1,8.69,Team C,59.24,Team D,4.86,Instagram,41103,1997,948,-0.62
Player 35,Team E,Test,London,369,24,1537.5,5,6.92,Team B,55.08,Team A,4.85,YouTube,23442,3447,281,-0.72
Player 39,Team E,Test,London,23,61,37.7,1,6.41,Team D,50.85,Team C,4.32,Instagram,15142,4547,1138,-0.03
Player 88,Team B,ODI,London,39,97,40.21,4,5.56,Team B,89.43,Team E,2.68,Twitter,26530,2462,998,-0.46
Player 5,Team A,Test,Sydney,250,113,221.24,5,8.68,Team E,58.09,Team B,4.45,Instagram,41748,1314,64,0.51
Player 74,Team C,T20,London,186,29,641.38,1,5.42,Team D,65.45,Team D,2.51,Twitter,13875,3176,1113,-1.0
Player 10,Team A,Test,Sydney,278,98,283.67,1,9.21,Team E,94.22,Team B,3.36,Facebook,20996,4089,283,0.75
Player 5,Team B,ODI,Sydney,53,85,62.35,3,8.35,Team E,52.1,Team B,2.97,Twitter,34113,2253,1467,-0.82
Player 73,Team A,T20,Sydney,33,122,27.05,3,6.08,Team D,90.81,Team A,4.25,Facebook,31983,2519,1826,-0.73
Player 34,Team C,T20,Dubai,159,50,318.0,1,9.91,Team E,97.87,Team D,1.96,YouTube,17979,3095,1917,-0.89
Player 14,Team C,ODI,London,55,95,57.89,3,3.88,Team D,60.88,Team C,1.74,YouTube,20690,163,1707,0.64
Player 30,Team C,Test,Sydney,1,80,1.25,5,7.0,Team B,97.92,Team D,4.89,Twitter,46628,310,622,0.03
Player 9,Team D,Test,Cape Town,369,35,1054.29,0,5.25,Team D,98.95,Team D,3.59,Twitter,20607,2010,1321,0.3
Player 37,Team B,Test,Dubai,332,49,677.55,1,3.2,Team B,73.39,Team E,3.4,Facebook,24549,2305,230,0.82
Player 91,Team B,ODI,Cape Town,24,61,39.34,3,6.17,Team A,82.87,Team B,2.08,Facebook,44490,4081,1698,-0.01
Player 46,Team D,ODI,Dubai,10,117,8.55,0,4.61,Team C,83.78,Team A,3.08,YouTube,22366,1345,915,-0.44
Player 100,Team D,T20,London,181,25,724.0,0,3.16,Team A,98.89,Team B,2.03,Twitter,37215,3911,1483,-0.66
Player 43,Team A,T20,Cape Town,105,68,154.41,4,8.79,Team B,72.61,Team E,1.87,Twitter,25352,4077,1445,0.1
Player 82,Team D,Test,Sydney,16,76,21.05,1,4.63,Team A,50.38,Team E,3.71,Instagram,48915,4783,1678,-0.16
Player 95,Team B,T20,Cape Town,92,83,110.84,0,9.75,Team E,77.12,Team A,4.12,Twitter,8067,597,851,0.63
Player 92,Team C,Test,Dubai,343,98,350.0,1,9.7,Team C,89.09,Team A,3.12,YouTube,7869,4354,568,-0.29
Player 79,Team C,ODI,London,173,135,128.15,5,3.99,Team E,91.78,Team A,4.55,Facebook,15976,1034,858,-0.74
Player 5,Team B,T20,London,74,74,100.0,5,5.12,Team C,87.13,Team D,1.61,Facebook,30303,3064,387,0.48
Player 46,Team C,T20,Dubai,135,57,236.84,1,8.39,Team B,84.56,Team B,2.79,YouTube,28754,4607,1191,-0.27
Player 62,Team E,T20,Sydney,64,98,65.31,4,9.91,Team E,82.47,Team E,3.6,Instagram,30413,4568,690,-0.73
Player 34,Team D,Test,Mumbai,207,62,333.87,1,5.88,Team E,81.78,Team B,4.0,YouTube,28321,3794,755,-0.29
Player 17,Team C,Test,London,283,4,7075.0,5,3.06,Team B,87.53,Team D,4.41,Instagram,32618,2980,303,0.78
Player 78,Team A,Test,Dubai,235,93,252.69,2,5.08,Team D,80.39,Team B,2.31,Instagram,46596,4483,745,-0.46
Player 6,Team D,Test,Sydney,67,89,75.28,5,5.95,Team B,90.0,Team E,2.96,YouTube,13187,2925,1323,0.91
Player 45,Team A,T20,Sydney,185,11,1681.82,1,3.66,Team C,60.21,Team E,1.93,Instagram,34450,2813,426,0.93
Player 55,Team A,Test,Sydney,274,18,1522.22,0,5.6,Team D,88.08,Team B,2.01,Twitter,14665,4170,450,-0.25
Player 86,Team B,ODI,Sydney,33,18,183.33,1,9.67,Team B,59.04,Team D,2.89,Instagram,26168,1986,1829,-0.6
Player 24,Team E,Test,Mumbai,105,3,3500.0,3,3.63,Team A,76.03,Team C,3.78,Twitter,13987,2470,1462,-0.05
Player 18,Team C,Test,Mumbai,283,92,307.61,5,8.74,Team B,68.22,Team A,3.37,Facebook,33361,4124,1714,0.2
Player 4,Team A,T20,London,6,63,9.52,3,9.16,Team E,75.22,Team D,1.88,Facebook,2714,2640,1853,0.71
Player 50,Team A,ODI,Mumbai,55,82,67.07,0,7.05,Team D,56.22,Team E,3.3,YouTube,45789,683,526,0.42
Player 40,Team B,T20,Dubai,157,37,424.32,0,3.33,Team D,68.94,Team E,2.84,Twitter,47487,854,1681,-0.33
Player 41,Team A,T20,Sydney,72,105,68.57,5,8.21,Team E,88.84,Team A,3.12,Facebook,3660,2457,1373,-0.12
Player 4,Team A,ODI,London,43,50,86.0,1,9.88,Team A,97.69,Team D,2.24,Twitter,22071,2880,542,-0.06
Player 75,Team C,T20,Dubai,158,109,144.95,4,4.7,Team E,94.98,Team C,4.58,Twitter,40333,4804,271,0.43
Player 94,Team B,ODI,Dubai,103,108,95.37,4,9.77,Team D,83.9,Team B,4.67,Facebook,21526,2242,813,-0.45
Player 54,Team D,Test,Sydney,337,105,320.95,0,9.79,Team E,56.12,Team B,3.91,YouTube,28596,1946,835,-0.15
Player 67,Team C,T20,London,92,92,100.0,4,3.12,Team A,70.74,Team A,4.81,Twitter,14856,3668,1320,0.97
Player 65,Team C,ODI,Dubai,186,106,175.47,1,7.97,Team B,61.64,Team B,1.6,YouTube,37993,2135,172,-0.34
Player 32,Team A,T20,London,92,98,93.88,0,6.41,Team E,96.23,Team B,3.57,Twitter,39631,2650,476,-0.15
Player 11,Team C,ODI,Sydney,71,21,338.1,1,8.53,Team A,86.63,Team D,1.54,Twitter,30996,935,1352,-0.84
Player 37,Team A,T20,London,197,92,214.13,4,5.12,Team D,75.95,Team A,2.23,YouTube,18141,4048,1389,-0.42
Player 71,Team D,Test,Dubai,372,10,3720.0,2,8.69,Team B,80.27,Team C,4.86,YouTube,44289,3859,928,0.6
Player 53,Team C,T20,Cape Town,8,37,21.62,1,3.9,Team B,51.33,Team A,2.7,Instagram,26111,4947,929,0.78
Player 67,Team B,T20,London,17,51,33.33,0,4.73,Team A,94.18,Team C,4.04,Instagram,28329,1630,1932,-0.78
Player 53,Team D,ODI,Sydney,104,145,71.72,3,10.0,Team D,75.64,Team B,3.17,YouTube,2014,1858,809,0.0
Player 97,Team D,T20,Dubai,59,35,168.57,5,5.05,Team E,85.86,Team D,2.89,Facebook,20181,1168,1727,-0.06
Player 91,Team C,Test,London,118,126,93.65,4,8.48,Team C,81.6,Team E,3.07,Twitter,41216,2161,1841,-0.2
Player 99,Team C,T20,Cape Town,183,28,653.57,3,8.91,Team A,66.81,Team A,4.02,Twitter,36510,913,1165,0.53
Player 70,Team B,Test,Mumbai,363,11,3300.0,3,6.19,Team C,69.0,Team E,4.46,Twitter,4419,4393,167,0.07
Player 90,Team D,ODI,Cape Town,151,96,157.29,3,5.59,Team E,63.07,Team C,3.84,Twitter,31890,4402,383,0.9
